冠心病 心绞痛 不稳定型心绞痛 冠状动脉支架植入术后 |  心绞痛 不稳定性心绞痛/增强型心绞痛  不稳定性心绞痛 | 不稳定性心绞痛:1.0心绞痛:1增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
不稳定心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
不稳定型心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定型心绞痛不稳定型心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
不稳定型心绞痛不稳定型心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 心功能II级 | 不稳定性心绞痛/增强型心绞痛   | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 短阵室速 频发室早二联律 | 不稳定性心绞痛/增强型心绞痛    | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 多支血管病 | 不稳定性心绞痛/增强型心绞痛   | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛不稳定性心绞痛 | 不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
不稳定性心绞痛 三支病 | 不稳定性心绞痛/增强型心绞痛   | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
冠心病 不稳定性心绞痛 |  不稳定性心绞痛/增强型心绞痛  | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
冠心病 不稳定性心绞痛 心功能3级 |  不稳定性心绞痛/增强型心绞痛   | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
冠心病 不稳定心绞痛不稳定心绞痛 |  不稳定性心绞痛/增强型心绞痛 不稳定性心绞痛 | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
冠心病 不稳定心绞痛 |  不稳定性心绞痛/增强型心绞痛 不稳定性心绞痛 | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
冠心病 不稳定型心绞痛 |  不稳定性心绞痛/增强型心绞痛 不稳定性心绞痛 | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
冠心病 不稳定型心绞痛 心功能2级 |  不稳定性心绞痛/增强型心绞痛  不稳定性心绞痛 | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
冠心病 不稳定性心绞痛 心功能II级 |  不稳定性心绞痛/增强型心绞痛   | 不稳定性心绞痛:1增强型心绞痛:1 | 不稳定性心绞痛 | I20.000
冠心病 不稳定心绞痛 |  不稳定性心绞痛/增强型心绞痛 不稳定性心绞痛 | 不稳定性心绞痛:0.857142857143增强型心绞痛:0.857142857143 | 不稳定性心绞痛 | I20.000
冠心病 不稳定型心绞痛 |  不稳定性心绞痛/增强型心绞痛 不稳定性心绞痛 | 不稳定性心绞痛:1.0增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
冠心病 缺血性心肌病 不稳定型心绞痛 心脏扩大心功能Ⅲ级术后 |  缺血性心肌病 不稳定性心绞痛/增强型心绞痛  不稳定性心绞痛 | 不稳定性心绞痛:1.0缺血性心肌病:1增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
